"order_penalty","run","profit"
"190","28","580457"
"190","29","565230"
"200","0","635455"
"200","1","724758"
"200","2","610731"
"200","3","494156"
"200","4","517162"
"200","5","544852"
"200","6","626708"
"200","7","582441"
"200","8","694648"
"200","9","602977"
"200","10","672600"
"200","11","677386"
"200","12","614349"
"200","13","662592"
"200","14","727580"
"200","15","712371"
"200","16","652706"
"200","17","528525"
"200","18","688019"
"200","19","699212"
"200","20","614803"
"200","21","619293"
"200","22","712078"
"200","23","607276"
"200","24","578647"
"200","25","707556"
"200","26","645664"
"200","27","676306"
"200","28","640425"
"200","29","642503"
"210","0","593487"
"210","1","659080"
"210","2","557709"
"210","3","606486"
"210","4","583104"
"210","5","752765"
"210","6","651499"
"210","7","584404"
"210","8","591341"
"210","9","593659"
"210","10","585579"
"210","11","591883"
"210","12","572883"
"210","13","592884"
"210","14","612071"
"210","15","566216"
"210","16","669687"
"210","17","631752"
"210","18","573862"
"210","19","542940"
"210","20","653508"
"210","21","557927"
"210","22","571729"
"210","23","626632"
"210","24","584213"
"210","25","525223"
"210","26","586374"
"210","27","608618"
"210","28","615824"
"210","29","594606"
"220","0","711172"
"220","1","541661"
"220","2","731861"
"220","3","514345"
"220","4","697425"
"220","5","633974"
"220","6","605673"
"220","7","513327"
"220","8","611660"
"220","9","616502"
"220","10","670244"
"220","11","608488"
"220","12","607772"
"220","13","522410"
"220","14","581624"
"220","15","603755"
"220","16","659826"
"220","17","564416"
"220","18","692450"
"220","19","665867"
"220","20","679585"
"220","21","597594"
"220","22","530860"
"220","23","580519"
"220","24","636220"
"220","25","712540"
"220","26","635382"
"220","27","662581"
"220","28","684101"
"220","29","660151"
"230","0","619981"
"230","1","536301"
"230","2","569869"
"230","3","618033"
"230","4","605975"
"230","5","556779"
"230","6","530307"
"230","7","662277"
"230","8","635543"
"230","9","605339"
"230","10","657538"
"230","11","569759"
"230","12","724592"
"230","13","605806"
"230","14","582992"
"230","15","643757"
"230","16","696620"
"230","17","641482"
"230","18","599235"
"230","19","724621"
"230","20","642153"
"230","21","731592"
"230","22","717436"
"230","23","599311"
"230","24","581354"
"230","25","667819"
"230","26","618937"
"230","27","591815"
"230","28","614637"
"230","29","601441"
"240","0","710563"
"240","1","562503"
"240","2","569825"
"240","3","668727"
"240","4","562675"
"240","5","600610"
"240","6","571058"
"240","7","682871"
"240","8","653182"
"240","9","650554"
"240","10","617464"
"240","11","674539"
"240","12","469008"
"240","13","635797"
"240","14","739391"
"240","15","709212"
"240","16","544263"
"240","17","652393"
"240","18","683475"
"240","19","676386"
"240","20","606867"
"240","21","665037"
"240","22","619552"
"240","23","617099"
"240","24","644514"
"240","25","728230"
"240","26","546689"
"240","27","580762"
"240","28","602767"
"240","29","570079"
"250","0","592384"
"250","1","503662"
"250","2","588212"
"250","3","674136"
"250","4","658125"
"250","5","591898"
"250","6","735578"
"250","7","546662"
"250","8","672232"
"250","9","641125"
"250","10","587833"
"250","11","660574"
"250","12","613369"
"250","13","604736"
"250","14","669777"
"250","15","539128"
"250","16","608191"
"250","17","640585"
"250","18","479170"
"250","19","615794"
"250","20","665417"
"250","21","725040"
"250","22","537279"
"250","23","561696"
"250","24","686847"
"250","25","644121"
"250","26","670942"
"250","27","639986"
"250","28","731131"
"250","29","716299"
