"customers","run","profit"
"78","18","7498488"
"78","19","7447821"
"78","20","6740240"
"78","21","6955450"
"78","22","8101977"
"78","23","6337593"
"78","24","8019516"
"78","25","7210454"
"78","26","7104340"
"78","27","6459664"
"78","28","7059394"
"78","29","7752907"
"82","0","5946690"
"82","1","7819450"
"82","2","6747783"
"82","3","7517942"
"82","4","7822775"
"82","5","7565158"
"82","6","8101683"
"82","7","6956350"
"82","8","7726166"
"82","9","7522864"
"82","10","6974757"
"82","11","6702487"
"82","12","7328096"
"82","13","6114649"
"82","14","7208369"
"82","15","6699803"
"82","16","7574247"
"82","17","6315016"
"82","18","7273346"
"82","19","6944739"
"82","20","7003946"
"82","21","8045249"
"82","22","7154125"
"82","23","6862096"
"82","24","8139897"
"82","25","7597432"
"82","26","7207644"
"82","27","7093480"
"82","28","7530495"
"82","29","7470758"
"86","0","6386939"
"86","1","6704938"
"86","2","6657260"
"86","3","7924006"
"86","4","7749462"
"86","5","7159640"
"86","6","8712314"
"86","7","8440089"
"86","8","7039693"
"86","9","8216637"
"86","10","7477408"
"86","11","7746931"
"86","12","7862600"
"86","13","7518127"
"86","14","7178332"
"86","15","6670305"
"86","16","7824704"
"86","17","7516784"
"86","18","7018632"
"86","19","8242211"
"86","20","6131564"
"86","21","5850656"
"86","22","6389998"
"86","23","8081407"
"86","24","7748291"
"86","25","6800076"
"86","26","7543715"
"86","27","7146095"
"86","28","7442556"
"86","29","8738411"
"90","0","8179898"
"90","1","7183306"
"90","2","7171376"
"90","3","7657483"
"90","4","7620409"
"90","5","7799278"
"90","6","7623571"
"90","7","7704024"
"90","8","6998579"
"90","9","8333115"
"90","10","8635301"
"90","11","6904639"
"90","12","8812694"
"90","13","7752677"
"90","14","7517639"
"90","15","7525295"
"90","16","7025632"
"90","17","8137411"
"90","18","6980188"
"90","19","8203833"
"90","20","7217984"
"90","21","7844315"
"90","22","8599925"
"90","23","7254188"
"90","24","7370853"
"90","25","8075521"
"90","26","7161002"
"90","27","8089102"
"90","28","7808233"
"90","29","7951573"
"94","0","6899479"
"94","1","7803965"
"94","2","7610069"
"94","3","7547179"
"94","4","7441187"
"94","5","8319459"
"94","6","7317962"
"94","7","9593371"
"94","8","7244535"
"94","9","7709384"
"94","10","8063310"
"94","11","8172821"
"94","12","8106856"
"94","13","7813313"
"94","14","7536388"
"94","15","6926448"
"94","16","8461890"
"94","17","7702703"
"94","18","6916467"
"94","19","7480704"
"94","20","7579095"
"94","21","7219125"
"94","22","7953665"
"94","23","7012270"
"94","24","8219547"
"94","25","7575797"
"94","26","7607475"
"94","27","7389624"
"94","28","7977542"
"94","29","7794459"
"98","0","8208593"
"98","1","7923980"
"98","2","8670807"
"98","3","7132223"
"98","4","6904406"
"98","5","8701466"
"98","6","7440951"
"98","7","6933457"
"98","8","7142427"
"98","9","7139675"
"98","10","7351303"
"98","11","7928476"
"98","12","7889424"
"98","13","7866761"
"98","14","8602940"
"98","15","7279742"
"98","16","8532144"
"98","17","7785803"
"98","18","8019404"
"98","19","7828587"
"98","20","8241982"
"98","21","6979499"
"98","22","8367000"
"98","23","8044877"
"98","24","7600658"
"98","25","7857342"
"98","26","7330387"
"98","27","8926783"
"98","28","8735020"
"98","29","7488025"
