"customers","run","profit"
"54","16","6382155"
"54","17","5471102"
"54","18","5874154"
"54","19","5913883"
"54","20","5566533"
"54","21","5557180"
"54","22","5759576"
"54","23","7041973"
"54","24","5960704"
"54","25","6216985"
"54","26","5817330"
"54","27","6520982"
"54","28","5840132"
"54","29","6396106"
"58","0","6659814"
"58","1","6772942"
"58","2","5835470"
"58","3","5965502"
"58","4","6381620"
"58","5","5720683"
"58","6","6147861"
"58","7","7529633"
"58","8","5927802"
"58","9","6321983"
"58","10","6651075"
"58","11","6275233"
"58","12","6406595"
"58","13","6329388"
"58","14","6452553"
"58","15","6358845"
"58","16","6512672"
"58","17","6776998"
"58","18","7016963"
"58","19","6217445"
"58","20","5491173"
"58","21","6939576"
"58","22","5697671"
"58","23","6917949"
"58","24","6972976"
"58","25","6026573"
"58","26","7977398"
"58","27","6092947"
"58","28","6689790"
"58","29","6705240"
"62","0","5762809"
"62","1","6796665"
"62","2","6637510"
"62","3","6032628"
"62","4","6188906"
"62","5","6604684"
"62","6","6458018"
"62","7","6591877"
"62","8","5695782"
"62","9","6855057"
"62","10","5832623"
"62","11","6427259"
"62","12","6687730"
"62","13","6924647"
"62","14","5650026"
"62","15","5898186"
"62","16","6356150"
"62","17","7174111"
"62","18","7000506"
"62","19","7019033"
"62","20","6155426"
"62","21","6491688"
"62","22","6804436"
"62","23","6271098"
"62","24","6947542"
"62","25","6969210"
"62","26","6085165"
"62","27","6441297"
"62","28","6605500"
"62","29","6302994"
"66","0","6496972"
"66","1","7360440"
"66","2","5816697"
"66","3","7311508"
"66","4","6942681"
"66","5","7139894"
"66","6","5909980"
"66","7","6946885"
"66","8","6943436"
"66","9","6127870"
"66","10","6790950"
"66","11","6639440"
"66","12","6995383"
"66","13","6854703"
"66","14","6300589"
"66","15","6925564"
"66","16","6818481"
"66","17","5792824"
"66","18","6345236"
"66","19","6805556"
"66","20","6312236"
"66","21","6873375"
"66","22","7209862"
"66","23","6964125"
"66","24","6843312"
"66","25","6495100"
"66","26","5751013"
"66","27","6345899"
"66","28","6531571"
"66","29","6569089"
"70","0","7268761"
"70","1","7241123"
"70","2","5652814"
"70","3","7415161"
"70","4","7035031"
"70","5","7597742"
"70","6","7063177"
"70","7","7080926"
"70","8","7568245"
"70","9","7199845"
"70","10","6295122"
"70","11","6220458"
"70","12","6704682"
"70","13","7255564"
"70","14","6567017"
"70","15","6471717"
"70","16","5597616"
"70","17","7261308"
"70","18","6958656"
"70","19","7475365"
"70","20","6978037"
"70","21","7247516"
"70","22","7120755"
"70","23","6992131"
"70","24","7159241"
"70","25","6310219"
"70","26","7565490"
"70","27","6469713"
"70","28","7351223"
"70","29","6487379"
"74","0","7098504"
"74","1","6772938"
"74","2","7319702"
"74","3","6608931"
"74","4","7239060"
"74","5","6574456"
"74","6","5850494"
"74","7","6140234"
"74","8","6543887"
"74","9","7463786"
"74","10","7143083"
"74","11","7134151"
"74","12","6726666"
"74","13","6735549"
"74","14","7679078"
"74","15","6751658"
"74","16","7040512"
"74","17","7431106"
"74","18","6614806"
"74","19","6648690"
"74","20","7669181"
"74","21","7391193"
"74","22","6338689"
"74","23","6918851"
"74","24","5968023"
"74","25","6593131"
"74","26","7253707"
"74","27","7320021"
"74","28","7514796"
"74","29","7284075"
"78","0","7013775"
"78","1","6835186"
"78","2","7001292"
"78","3","7288905"
"78","4","7336855"
"78","5","6314109"
"78","6","7013211"
"78","7","7188825"
"78","8","6959764"
"78","9","6642676"
"78","10","7237317"
"78","11","7545853"
"78","12","7494202"
"78","13","6852013"
"78","14","8012041"
"78","15","6492995"
"78","16","7574634"
"78","17","7304858"
"78","18","6277061"
"78","19","6393747"
"78","20","8079668"
"78","21","6608342"
"78","22","6784856"
"78","23","7072707"
"78","24","6496113"
"78","25","7484521"
"78","26","7130374"
"78","27","7328541"
"78","28","6670614"
"78","29","6778190"
"82","0","7330324"
"82","1","6859735"
"82","2","7072610"
"82","3","6439953"
"82","4","7276207"
"82","5","7136626"
"82","6","7171661"
"82","7","7578140"
"82","8","8131793"
"82","9","6348077"
"82","10","7588269"
"82","11","7743573"
"82","12","6869380"
"82","13","6518845"
"82","14","6896180"
"82","15","6302179"
"82","16","7310067"
"82","17","7249863"
"82","18","6296615"
"82","19","7032628"
"82","20","7106627"
"82","21","6939485"
"82","22","7876641"
"82","23","6907281"
"82","24","7625178"
"82","25","6299147"
"82","26","7826071"
"82","27","7279549"
"82","28","7161740"
"82","29","6630283"
"86","0","7756844"
"86","1","6896104"
"86","2","7592230"
"86","3","6986713"
"86","4","6977480"
"86","5","7732474"
"86","6","7987332"
"86","7","7901345"
"86","8","6564430"
"86","9","7959176"
"86","10","6543425"
"86","11","7404595"
"86","12","7703206"
"86","13","7267589"
"86","14","8062853"
"86","15","6270783"
"86","16","7465260"
"86","17","6368404"
"86","18","8069969"
"86","19","7102252"
"86","20","7888656"
"86","21","7917208"
"86","22","7328798"
"86","23","7509646"
"86","24","8404812"
"86","25","7748681"
"86","26","7614972"
"86","27","7145133"
"86","28","7114540"
"86","29","7690670"
